estu_cod_mcpio_presentacion_encoded,estu_cod_mcpio_presentacion
270.2868806615012,15759
270.2868806615012,15759
270.2868806615012,15759
251.83730061275085,15861
273.0995222042846,15001
257.4233124368444,15599
280.0938719325225,15238
251.92246435842216,15322
259.22722308137406,15753
259.50803431745015,15299
280.0938719325225,15238
254.94795988864703,15176
270.2868806615012,15759
235.60751099279,15507
273.0995222042846,15001
270.2868806615012,15759
255.96179543882357,15407
242.4513739280904,81736
280.0938719325225,15238
259.50803431745015,15299
270.2868806615012,15759
270.2868806615012,15759
270.2868806615012,15759
259.50803431745015,15299
254.94795988864703,15176
273.0995222042846,15001
273.0995222042846,15001
251.75502331995457,15757
273.0995222042846,15001
273.0995222042846,15001
273.0995222042846,15001
259.50803431745015,15299
280.0938719325225,15238
270.2868806615012,15759
280.0938719325225,15238
273.0995222042846,15001
240.73194362539263,15531
273.0995222042846,15001
273.0995222042846,15001
237.72691827453144,15572
270.2868806615012,15759
251.75502331995457,15757
280.0938719325225,15238
260.3098310184227,15837
254.15076698884073,15469
254.94795988864703,15176
259.50803431745015,15299
280.0938719325225,15238
237.72691827453144,15572
246.85369434734815,68077
272.8490305402576,73001
257.08343699724617,15835
280.0938719325225,15238
270.2868806615012,15759
280.0938719325225,15238
273.0995222042846,15001
273.0995222042846,15001
254.94795988864703,15176
270.2868806615012,15759
270.2868806615012,15759
251.75502331995457,15757
251.75502331995457,15757
273.0995222042846,15001
273.0995222042846,15001
273.0995222042846,15001
258.12922513981215,15646
251.92246435842216,15322
237.72691827453144,15572
273.0995222042846,15001
251.75502331995457,15757
273.0995222042846,15001
270.2868806615012,15759
273.0995222042846,15001
251.92246435842216,15322
273.0995222042846,15001
270.2868806615012,15759
255.96179543882357,15407
255.96179543882357,15407
270.2868806615012,15759
254.94795988864703,15176
273.0995222042846,15001
273.0995222042846,15001
273.0995222042846,15001
241.52411673270836,15480
270.2868806615012,15759
270.2868806615012,15759
273.0995222042846,15001
240.73194362539263,15531
280.0938719325225,15238
270.2868806615012,15759
270.2868806615012,15759
254.94795988864703,15176
273.0995222042846,15001
280.0938719325225,15238
273.0995222042846,15001
237.72691827453144,15572
258.12922513981215,15646
251.75502331995457,15757
273.0995222042846,15001
260.3098310184227,15837
254.94795988864703,15176
254.94795988864703,15176
273.0995222042846,15001
241.52411673270836,15480
254.94795988864703,15176
257.4233124368444,15599
270.2868806615012,15759
270.2868806615012,15759
259.22722308137406,15753
270.2868806615012,15759
254.94795988864703,15176
285.0296899686669,15516
258.12922513981215,15646
259.50803431745015,15299
254.94795988864703,15176
270.2868806615012,15759
237.72691827453144,15572
273.0995222042846,15001
273.0995222042846,15001
255.96179543882357,15407
270.2868806615012,15759
242.4513739280904,81736
280.0938719325225,15238
251.75502331995457,15757
237.72691827453144,15572
280.0938719325225,15238
273.0995222042846,15001
280.0938719325225,15238
259.50803431745015,15299
273.0995222042846,15001
273.0995222042846,15001
270.2868806615012,15759
240.73194362539263,15531
251.75502331995457,15757
273.0995222042846,15001
270.2868806615012,15759
260.3098310184227,15837
237.72691827453144,15572
258.12922513981215,15646
273.0995222042846,15001
273.0995222042846,15001
273.0995222042846,15001
251.75502331995457,15757
259.260167232227,15667
273.0995222042846,15001
280.0938719325225,15238
237.72691827453144,15572
280.0938719325225,15238
251.92246435842216,15322
270.2868806615012,15759
257.4233124368444,15599
270.2868806615012,15759
254.94795988864703,15176
254.94795988864703,15176
280.0938719325225,15238
254.15076698884073,15469
273.0995222042846,15001
280.0938719325225,15238
254.94795988864703,15176
273.0995222042846,15001
273.0995222042846,15001
251.3031641950532,15244
280.0938719325225,15238
285.0296899686669,15516
254.15076698884073,15469
280.0938719325225,15238
254.94795988864703,15176
270.2868806615012,15759
280.0938719325225,15238
259.50803431745015,15299
273.0995222042846,15001
273.0995222042846,15001
273.0995222042846,15001
273.0995222042846,15001
251.75502331995457,15757
255.96179543882357,15407
273.0995222042846,15001
273.0995222042846,15001
273.0995222042846,15001
273.0995222042846,15001
270.2868806615012,15759
273.0995222042846,15001
251.75502331995457,15757
270.2868806615012,15759
259.22722308137406,15753
270.2868806615012,15759
235.60751099279,15507
246.85369434734815,68077
251.92246435842216,15322
246.85369434734815,68077
280.0938719325225,15238
270.2868806615012,15759
270.2868806615012,15759
237.72691827453144,15572
251.3031641950532,15244
280.0938719325225,15238
280.0938719325225,15238
280.0938719325225,15238
273.0995222042846,15001
255.96179543882357,15407
273.0995222042846,15001
273.0995222042846,15001
280.0938719325225,15238
255.96179543882357,15407
273.0995222042846,15001
280.0938719325225,15238
273.0995222042846,15001
254.94795988864703,15176
235.60751099279,15507
254.94795988864703,15176
280.0938719325225,15238
280.0938719325225,15238
273.0995222042846,15001
251.83730061275085,15861
280.0938719325225,15238
254.94795988864703,15176
270.2868806615012,15759
259.50803431745015,15299
241.52411673270836,15480
273.0995222042846,15001
262.81828094646613,15455
270.2868806615012,15759
270.2868806615012,15759
285.0296899686669,15516
273.0995222042846,15001
273.0995222042846,15001
240.73194362539263,15531
270.2868806615012,15759
252.0819555109576,15204
254.94795988864703,15176
270.2868806615012,15759
257.08343699724617,15835
273.0995222042846,15001
285.0296899686669,15516
270.2868806615012,15759
273.0995222042846,15001
285.0296899686669,15516
257.08343699724617,15835
285.0296899686669,15516
285.0296899686669,15516
280.0938719325225,15238
251.92246435842216,15322
280.0938719325225,15238
259.50803431745015,15299
280.0938719325225,15238
254.94795988864703,15176
280.0938719325225,15238
280.0938719325225,15238
237.72691827453144,15572
270.2868806615012,15759
280.0938719325225,15238
252.0819555109576,15204
284.4359830517934,15693
251.92246435842216,15322
270.2868806615012,15759
259.50803431745015,15299
273.0995222042846,15001
242.4513739280904,81736
273.0995222042846,15001
270.2868806615012,15759
251.92246435842216,15322
280.0938719325225,15238
280.0938719325225,15238
273.0995222042846,15001
270.2868806615012,15759
280.0938719325225,15238
285.0296899686669,15516
247.05533659531068,15332
270.2868806615012,15759
259.22722308137406,15753
270.2868806615012,15759
280.0938719325225,15238
273.0995222042846,15001
285.0296899686669,15516
254.94795988864703,15176
237.72691827453144,15572
260.3098310184227,15837
273.0995222042846,15001
270.2868806615012,15759
280.0938719325225,15238
282.62257635064407,25402
273.0995222042846,15001
273.0995222042846,15001
273.0995222042846,15001
270.2868806615012,15759
254.15076698884073,15469
270.2868806615012,15759
255.96179543882357,15407
260.3098310184227,15837
259.50803431745015,15299
233.15285213006052,15183
237.72691827453144,15572
270.2868806615012,15759
257.4233124368444,15599
285.0296899686669,15516
254.15076698884073,15469
251.75502331995457,15757
270.2868806615012,15759
254.15076698884073,15469
237.72691827453144,15572
280.0938719325225,15238
280.0938719325225,15238
254.94795988864703,15176
273.0995222042846,15001
270.2868806615012,15759
270.2868806615012,15759
251.3031641950532,15244
270.2868806615012,15759
270.2868806615012,15759
262.81828094646613,15455
273.0995222042846,15001
280.0938719325225,15238
251.83730061275085,15861
270.2868806615012,15759
273.0995222042846,15001
273.0995222042846,15001
251.92246435842216,15322
254.94795988864703,15176
273.0995222042846,15001
259.22722308137406,15753
254.94795988864703,15176
259.50803431745015,15299
258.12922513981215,15646
273.0995222042846,15001
270.2868806615012,15759
270.2868806615012,15759
273.0995222042846,15001
254.94795988864703,15176
257.4233124368444,15599
273.0995222042846,15001
251.75502331995457,15757
280.0938719325225,15238
285.0296899686669,15516
285.0296899686669,15516
273.0995222042846,15001
280.0938719325225,15238
280.0938719325225,15238
270.2868806615012,15759
237.72691827453144,15572
260.72526556417523,15097
246.85369434734815,68077
257.08343699724617,15835
280.0938719325225,15238
237.72691827453144,15572
254.15076698884073,15469
259.22722308137406,15753
280.0938719325225,15238
254.94795988864703,15176
280.0938719325225,15238
280.0938719325225,15238
280.0938719325225,15238
273.0995222042846,15001
270.2868806615012,15759
237.72691827453144,15572
280.0938719325225,15238
260.72526556417523,15097
257.08343699724617,15835
280.0938719325225,15238
273.0995222042846,15001
273.0995222042846,15001
270.2868806615012,15759
262.81828094646613,15455
255.96179543882357,15407
273.0995222042846,15001
280.0938719325225,15238
270.2868806615012,15759
273.0995222042846,15001
258.12922513981215,15646
262.81828094646613,15455
270.2868806615012,15759
237.72691827453144,15572
237.72691827453144,15572
251.83730061275085,15861
270.2868806615012,15759
273.0995222042846,15001
273.0995222042846,15001
280.0938719325225,15238
270.2868806615012,15759
280.0938719325225,15238
273.0995222042846,15001
280.0938719325225,15238
270.2868806615012,15759
273.0995222042846,15001
270.2868806615012,15759
270.2868806615012,15759
254.94795988864703,15176
260.3098310184227,15837
270.2868806615012,15759
270.2868806615012,15759
247.05533659531068,15332
273.0995222042846,15001
270.2868806615012,15759
270.2868806615012,15759
254.94795988864703,15176
254.94795988864703,15176
273.0995222042846,15001
262.81828094646613,15455
270.2868806615012,15759
273.0995222042846,15001
237.72691827453144,15572
251.75502331995457,15757
280.0938719325225,15238
257.08343699724617,15835
254.94795988864703,15176
280.0938719325225,15238
257.08343699724617,15835
270.25943297500976,11001
254.94795988864703,15176
254.94795988864703,15176
273.0995222042846,15001
270.2868806615012,15759
270.2868806615012,15759
270.2868806615012,15759
251.83730061275085,15861
270.2868806615012,15759
273.0995222042846,15001
270.2868806615012,15759
251.83730061275085,15861
251.75502331995457,15757
280.0938719325225,15238
273.0995222042846,15001
273.0995222042846,15001
254.94795988864703,15176
273.0995222042846,15001
254.15076698884073,15469
237.72691827453144,15572
237.72691827453144,15572
270.2868806615012,15759
280.0938719325225,15238
280.0938719325225,15238
247.05533659531068,15332
251.92246435842216,15322
254.94795988864703,15176
270.2868806615012,15759
251.75502331995457,15757
254.94795988864703,15176
270.2868806615012,15759
280.0938719325225,15238
262.81828094646613,15455
273.0995222042846,15001
280.0938719325225,15238
262.81828094646613,15455
237.72691827453144,15572
280.0938719325225,15238
280.0938719325225,15238
270.2868806615012,15759
270.2868806615012,15759
259.50803431745015,15299
235.60751099279,15507
246.85369434734815,68077
240.73194362539263,15531
270.2868806615012,15759
270.2868806615012,15759
254.94795988864703,15176
270.2868806615012,15759
273.0995222042846,15001
285.0296899686669,15516
270.2868806615012,15759
237.72691827453144,15572
270.2868806615012,15759
254.94795988864703,15176
246.85369434734815,68077
273.0995222042846,15001
254.94795988864703,15176
237.72691827453144,15572
251.92246435842216,15322
270.2868806615012,15759
280.0938719325225,15238
273.0995222042846,15001
254.94795988864703,15176
251.75502331995457,15757
270.2868806615012,15759
254.94795988864703,15176
254.94795988864703,15176
280.0938719325225,15238
241.52411673270836,15480
251.3031641950532,15244
257.4233124368444,15599
235.60751099279,15507
257.08343699724617,15835
237.72691827453144,15572
257.08343699724617,15835
270.2868806615012,15759
254.94795988864703,15176
273.0995222042846,15001
273.0995222042846,15001
251.83730061275085,15861
259.50803431745015,15299
280.0938719325225,15238
270.2868806615012,15759
280.0938719325225,15238
241.32401423088012,85001
237.72691827453144,15572
280.0938719325225,15238
273.0995222042846,15001
233.15285213006052,15183
280.0938719325225,15238
257.08343699724617,15835
241.32401423088012,85001
280.0938719325225,15238
260.3098310184227,15837
285.0296899686669,15516
280.0938719325225,15238
251.75502331995457,15757
233.15285213006052,15183
280.0938719325225,15238
270.2868806615012,15759
273.0995222042846,15001
270.2868806615012,15759
259.22722308137406,15753
255.96179543882357,15407
254.94795988864703,15176
280.0938719325225,15238
254.94795988864703,15176
254.94795988864703,15176
273.0995222042846,15001
270.2868806615012,15759
258.12922513981215,15646
262.81828094646613,15455
251.3031641950532,15244
254.94795988864703,15176
233.15285213006052,15183
237.72691827453144,15572
280.0938719325225,15238
240.73194362539263,15531
242.4513739280904,81736
241.52411673270836,15480
285.0296899686669,15516
273.0995222042846,15001
255.96179543882357,15407
270.2868806615012,15759
254.94795988864703,15176
270.2868806615012,15759
270.2868806615012,15759
257.4233124368444,15599
280.0938719325225,15238
237.72691827453144,15572
280.0938719325225,15238
237.72691827453144,15572
262.81828094646613,15455
273.0995222042846,15001
259.50803431745015,15299
254.94795988864703,15176
251.75502331995457,15757
255.96179543882357,15407
270.2868806615012,15759
254.94795988864703,15176
259.50803431745015,15299
280.0938719325225,15238
254.94795988864703,15176
280.0938719325225,15238
270.2868806615012,15759
270.2868806615012,15759
285.0296899686669,15516
280.0938719325225,15238
254.94795988864703,15176
280.0938719325225,15238
273.0995222042846,15001
273.0995222042846,15001
262.81828094646613,15455
270.2868806615012,15759
285.0296899686669,15516
270.2868806615012,15759
273.0995222042846,15001
241.52411673270836,15480
270.2868806615012,15759
273.0995222042846,15001
251.75502331995457,15757
285.0296899686669,15516
273.0995222042846,15001
270.2868806615012,15759
241.52411673270836,15480
273.0995222042846,15001
273.0995222042846,15001
273.0995222042846,15001
246.85369434734815,68077
254.15076698884073,15469
280.0938719325225,15238
280.0938719325225,15238
237.72691827453144,15572
